Source,Category,Text
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,The brain is constantly trying to maximize the information it takes in from the world. It reconfigures itself and recalibrates to absorb new information and cancel out redundant information.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",key example,"When you stare at a waterfall for a while and then look at the rocks and trees, they appear to be moving in the opposite direction. This is the brain trying to ""reset its zero"" and cancel out the downward motion of the waterfall to maximize new information."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,"The author's hope in publishing the book is for people to understand how plastic and shaped by culture the brain actually is. We would be completely different people even with the same DNA if born 10,000 years ago."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",recommendation,"We should question our truths and minimize our high conviction statements, especially at a young age. This will help us expand our internal models and understand that there is more we don't see and know."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",principle,The beauty of science is that it is always willing to knock down its own walls and challenge established theories. There is nothing in science that isn't vulnerable to being overturned given enough evidence.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,"The author proposes the concept of ""possibilism"" - avoiding certainty when we don't need to be certain. This reflects the scientific temperament of being willing to say ""we don't know."""
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",prediction,"A significant leap in understanding the brain will come from developing a technology that can measure the activity of all 86 billion neurons in real time, allowing us to crack the ""neural code"" of the brain."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,"Laying down rich memories can make your lifespan seem longer, even if you don't live longer. This is because you have more memories to reference when estimating how long ago an event happened."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",recommendation,Seek novelty and put yourself in new situations to lay down dense memories. These novel experiences will stick in your memory more.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",key example,Summers during childhood seem to last the longest because everything is new and you lay down many memories during that time.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,"The COVID pandemic, though difficult, provided an opportunity for our brains to be challenged by the novelty of the situation and have to rethink many assumptions. This could potentially lead to a tiny decline in dementia for those who lived through it."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",recommendation,"Come up with ""idioticist"" hypotheses - ones that could be right or wrong, but are interesting enough to keep an eye on and potentially collect data on."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",idea,"Michael Ovitz was able to achieve massive success and power in Hollywood through a combination of tenacity, focus, work ethic, street smarts, leverage, and powerful PR and image crafting."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",key example,"Michael allowed David to have an ""inside"" view of how he operated and the deals he made through giving him access to information at CAA. This knowledge helped shape David's own career."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",idea,Timing played a crucial role in David getting his first break by connecting with Michael Ovitz at the right moment when Michael needed someone with his skills and experience.
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",recommendation,"David recommends connecting and showing tenacity when pursuing opportunities, as this helped him secure an interview with Michael despite other people presumably also trying."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",idea,"Having multiple competing job offers helped David secure the role he wanted at CAA, as it showed Michael that other people valued David and his work. This created scarcity and urgency for Michael to hire him."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",principle,"David believes that achieving outsized success often requires a large element of being in the right place at the right time, in addition to hard work."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",prediction,"Had David not made that initial connection with Michael Ovitz, he likely would not have gone on to create Marvel Studios. It served as a critical first step in his career."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",idea,"To be successful in Hollywood, one needs to have strong business fundamentals, the ability to manage creative people and projects, and understand the dynamics and politics of the industry."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",key example,"Being able to identify undervalued companies due to inefficient markets, like David saw with Marvel, can lead to major opportunities. But it requires having business fundamentals skills."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",recommendation,"For those wanting to enter the entertainment industry, studying the history and current news can be helpful, alongside learning basic business concepts. Reading biographies of industry leaders can also provide valuable insights."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",prediction,"David predicted Disney should acquire Marvel in the late 1990s, but was dismissed at the time due to Marvel lacking theme park rights. Years later, Disney's acquisition of Marvel became extremely valuable."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",recommendation,"Managing and building relationships with the people around stars, not just the stars themselves, is important in Hollywood. Understanding what different people value can also help in making deals."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",idea,"Seeing how transient life can be through difficult personal events can give one the motivation to take risks and pursue more meaningful work, as David experienced."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",idea,"Make every Marvel movie after the first one a sequel or quasi-sequel, leveraging an interconnected universe of Marvel characters."
"#676- David Maisel of Marvel Studios Fame — Never-Before-Heard Tales of Hollywood Dealmaking, The Art of Aiming Big, Lessons from Power Broker Michael Ovitz, Combining Business Smarts with Street Smarts, The Making (and Importance) of Iron Man, Sellin.txt",idea,"Form my own studio and have full creative and business control as the chairman, rather than depend on other studios to make Marvel films."
